common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
Lime - Caucasian,Highways,11,4,Middle aged,Good,36.6,86.7
Maple - Norway,Highways,10,7,Middle aged,Fair,254,199.7
Tamarisk,Parks,3,0,Juvenile,Fair,3.7,33.3
"Cherry - Wild, Gean",Housing,10,6,Middle aged,Good,112.8,119.3
Rowan - Cut leaved,Highways,8,3,Middle aged,Good,29.5,31.7
London plane,Parks,17,10,Mature,Good,3317.8,982.3
Maidenhair tree,Highways,5,3,Middle aged,Good,39,18.5
Elder,Housing,5,6,Mature,Good,39,81
Birch - Silver,Highways,9,2,Juvenile,Fair,8.4,11.8
Lime - Common,Highways,15,5,Mature,Fair,175.5,164.9
Whitebeam,Highways,10,5,Mature,Fair,364.5,85.9
Willow - Corkscrew,Housing,18,10,Mature,Fair,850.2,318.1
Maple - Field,Housing,6,5,Middle aged,Fair,65.5,68.3
London plane,Highways,16,9,Middle aged,Fair,73.8,352.1
Birch - Silver,Highways,3,2,Juvenile,Good,1.5,9.3
London plane,Housing,24,14,Mature,Good,2958.8,794.9
Sycamore,Housing,22,14,Mature,Good,1009.9,707.5
Maidenhair tree,Highways,3,2,Juvenile,Fair,1.4,8.9
Cherry,Housing,4,1,Juvenile,Fair,4.3,3.5
London plane,Housing,19,19,Mature,Good,1943.1,1332.6
Sycamore - Golden,Highways,9,6,Mature,Fair,319,121.3
"Oak - Evergreen, Holm",Parks,7,8,Middle aged,Good,201,97.6
Alder - Italian,Highways,10,5,Middle aged,Good,30.2,120
Maidenhair tree,Highways,7,2,Middle aged,Good,20.2,11.2
Lime - Common,Parks,25,10,Mature,Fair,930.3,450.6
Holly,Parks,6,4,Middle aged,Fair,31.3,47.5
Maple - Field,Highways,7,5,Middle aged,Good,65.5,68.3
Holly,Parks,4,3,Middle aged,Good,20.5,21.9
Sweet Gum,Parks,5,2,Juvenile,Good,3,11.8
London plane,Highways,15,8,Middle aged,Good,312.1,389.1
Cherry,Housing,10,5,Mature,Fair,80.3,97.8
June Berry,Highways,5,5,Middle aged,Good,39.5,45.4
Whitebeam,Highways,11,9,Mature,Fair,412.2,256.4
Rowan,Highways,6,3,Middle aged,Fair,24.1,29.3
London plane,Highways,12,6,Mature,Fair,834.2,250.7
Plum - Victoria,Housing,2,1.5,Juvenile,Good,1.6,5.7
London plane,Highways,23,12,Mature,Good,969.4,678.5
Cherry - Rosebud,Education,5,7,Middle aged,Fair,18.7,127.4
Cherry,Highways,6,3,Middle aged,Good,23.1,29.3
Birch - Weeping silver,Highways,10,2,Middle aged,Good,8.4,11.8
Sycamore,Housing,9,5,Mature,Fair,1012.8,85.9
Poplar - Lombardy,Housing,20,6,Over Mature,Good,1980.4,106.8
Pear,Parks,12,6,Mature,Fair,326.5,125.9
Maple - Field,Education,10,4,Middle aged,Fair,92.5,44.2
Cypress - Leyland,Parks,13,4,Mature,Good,230.6,107.4
London plane,Highways,20,16,Mature,Good,1362.9,1029
Lime - Caucasian,Parks,14,9,Mature,Fair,388,390.6
Sycamore,Parks,21,15,Mature,Fair,1378.1,803.9
Spruce,Corporate Landlord,11,3,Middle aged,Good,36.2,50.2
Sycamore,Education,10,6,Middle aged,Good,193.2,135
London plane,Highways,23,12,Mature,Fair,2398.7,526
Birch - Silver,Highways,8,3,Middle aged,Good,18.3,29.6
Cotoneaster,Housing,4,6,Mature,Fair,33,84.6
Whitebeam,Highways,9,4,Middle aged,Fair,117.7,50.8
Maple - Norway,Highways,5,1,Juvenile,Good,3.4,4.5
Cherry,Education,6,4,Middle aged,Good,14.8,21.9
London plane,Highways,15,6,Middle aged,Good,253.8,250.7
False Acacia,Education,12,6,Mature,Fair,186,149.5
London plane,Parks,23,13,Mature,Good,2765.2,722.4
Cherry,Education,5,5,Middle aged,Fair,80.3,44.5
Hawthorn - European,Housing,6,6,Mature,Fair,104,82.1
Maple - Norway,Highways,5,1.5,Juvenile,Good,3.5,9.2
Maple - Norway,Highways,13,8,Middle aged,Fair,301.3,319.9
London plane,Highways,23,10,Mature,Fair,1024.3,471.2
Birch - Silver,Highways,15,7,Mature,Good,198.4,240.7
Lime - Common,Highways,17,7,Mature,Fair,899.7,220.8
Ash,Housing,14,10,Mature,Fair,553.2,362.8
London plane,Parks,31,15,Middle aged,Fair,3637.9,1035.6
Birch - Himalayan,Highways,7,4,Middle aged,Good,33.1,11.8
Sweet Gum,Housing,17,10,Mature,Good,409.9,296.6
Cherry,Housing,5,4,Mature,Good,23.1,41.8
Hawthorn - Common,Housing,9,5,Over Mature,Fair,320.3,86.7
London plane,Highways,19,12,Mature,Good,846.2,584
Maple - Silver,Highways,8,5,Middle aged,Fair,90,66.6
"Cherry - Wild, Gean",Housing,9,4,Middle aged,Fair,70.8,58.5
Sycamore,Housing,8,6,Middle aged,Fair,351.6,109.5
London plane,Parks,21,13,Mature,Fair,1184.3,710.1
Persian Ironwood,Highways,2,1,Juvenile,Good,1.4,3.2
Willow - Goat,Housing,6,5,Middle aged,Fair,33.9,70.4
Hornbeam,Housing,6,4,Middle aged,Fair,6.2,41.8
London plane,Housing,16,10,Mature,Fair,526.8,412.9
Sycamore - Brillianissiumum,Housing,15,8,Mature,Good,310,336.9
"Cherry - Wild, Gean",Housing,6,6,Mature,Fair,182.2,81
Holly,Parks,13,9,Mature,Good,135.1,271.9
Tree of Heaven,Highways,19,10,Mature,Fair,191.2,308.3
Cherry - Tibetan,Housing,5,5,Middle aged,Good,80.3,55
Cherry - Tibetan,Housing,4,5,Middle aged,Fair,54,44.5
Hornbeam,Highways,5,2,Middle aged,Good,12.8,12.6
